MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
8164845,172911997,10/18/2017,10/18/2017,16:27:00,10/18/2017,16:27:00,305,,,1554 JONESBORO RD SE,0430,1315,,1,Eve,Wed,13,AGG ASSAULT,South Atlanta,Y,-84.381730000000005,33.710799999999999
8164846,172912077,10/18/2017,10/18/2017,16:52:00,10/18/2017,17:02:00,310,,,221 CLEVELAND AVE SW,0630,2303,,1,Eve,Wed,23,LARCENY-NON VEHICLE,Browns Mill Park,Z,-84.396659999999997,33.681199999999997
8164847,172912221,10/18/2017,10/13/2017,11:00:00,10/18/2017,17:30:00,611,,2500,2510 LINKS DR SE,0531,2202A,,1,Unk,Unk,26,BURGLARY-RESIDENCE,The Villages at East Lake,O,-84.311840000000004,33.744570000000003
8164848,172912237,10/18/2017,10/18/2017,17:55:00,10/18/2017,17:55:00,405,,,2310 MARTIN L KING JR DR SW,0630,2303,,1,Eve,Wed,24,LARCENY-NON VEHICLE,Florida Heights,I,-84.466099999999997,33.751660000000001
8164849,172912264,10/18/2017,10/18/2017,18:03:00,10/18/2017,18:08:00,605,,,527 CAMERON ST SE,0640,2305,,1,Eve,Wed,13,LARCENY-FROM VEHICLE,Grant Park,W,-84.365290000000002,33.739899999999999
8164850,172912355,10/18/2017,10/18/2017,09:00:00,10/18/2017,15:30:00,503,,,84 12TH ST NE,0640,2305,,1,Day,Wed,13,LARCENY-FROM VEHICLE,Midtown,E,-84.38494,33.784640000000003
8164851,172912387,10/18/2017,10/18/2017,18:00:00,10/18/2017,19:17:00,602,,,292 MORELAND AVE NE,0640,2305,,1,Eve,Wed,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.349339999999998,33.763170000000002
8164852,172912406,10/18/2017,10/10/2017,07:45:00,10/10/2017,18:30:00,301,,,465 DECKNER AVE SW,0690,2399,,1,Day,Tue,20,LARCENY-NON VEHICLE,Capitol View Manor,X,-84.402749999999997,33.714820000000003
8164853,172912472,10/18/2017,10/18/2017,16:00:00,10/18/2017,20:07:00,307,,501D,1754 RICHMOND CIR SE,0511,2202,,1,Eve,Wed,26,BURGLARY-RESIDENCE,Lakewood Heights,Y,-84.374499999999998,33.706980000000001
8164854,172912508,10/18/2017,10/18/2017,20:10:00,10/18/2017,20:20:00,605,,,364 HILL ST SE,0690,2399,,1,Eve,Wed,23,LARCENY-NON VEHICLE,Grant Park,W,-84.379199999999997,33.744790000000002
8164855,172912570,10/18/2017,10/18/2017,18:50:00,10/18/2017,20:30:00,502,,,44 PEACHTREE CIR NE,0710,2404,,1,Eve,Wed,13,AUTO THEFT,Ansley Park,E,-84.382859999999994,33.790010000000002
8164856,172912637,10/18/2017,10/18/2017,09:00:00,10/18/2017,21:00:00,603,,204,627 PARKWAY DR NE,0511,2202,,1,Eve,Wed,26,BURGLARY-RESIDENCE,Old Fourth Ward,M,-84.372669999999999,33.771590000000003
8164857,172912726,10/18/2017,10/18/2017,19:00:00,10/18/2017,22:30:00,412,,24207,1381 KIMBERLY RD SW,0511,2202,,1,Eve,Wed,26,BURGLARY-RESIDENCE,Ashley Courts,P,-84.521550000000005,33.718530000000001
8164858,172912737,10/18/2017,10/18/2017,22:15:00,10/19/2017,00:05:00,107,,,1739 MARTIN LUTHER KING JR DR,0670,2308,,1,Morn,Wed,23,LARCENY-NON VEHICLE,Mozley Park,K,-84.443730000000002,33.75121
8164859,172912764,10/18/2017,10/18/2017,22:50:00,10/18/2017,22:50:00,602,,,1174 ALTA AVE NE,0640,2305,,1,Eve,Wed,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.349760000000003,33.760820000000002
8164860,172912782,10/18/2017,10/18/2017,23:00:00,10/18/2017,23:09:00,103,,3201,370 NORTHSIDE DR NW,0430,1315,60,2,Morn,Wed,20,AGG ASSAULT,English Avenue,L,-84.404200000000003,33.765070000000001
8164861,172912790,10/18/2017,10/18/2017,23:00:00,10/18/2017,23:15:00,414,,,3755 CARMIA DR,0640,2305,,1,Morn,Wed,,LARCENY-FROM VEHICLE,Princeton Lakes,P,-84.510040000000004,33.6569
8164790,172901525,10/17/2017,10/16/2017,17:00:00,10/17/2017,13:32:00,604,,1140,626 DEKALB AVE SE,0640,2305,,1,Unk,Tue,,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.366870000000006,33.752830000000003
8164791,172901542,10/17/2017,10/17/2017,12:30:00,10/17/2017,13:40:00,604,,2113,701 HIGHLAND AVE NE,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.363910000000004,33.761240000000001
8164792,172901636,10/17/2017,10/17/2017,14:20:00,10/17/2017,14:30:00,604,,,480 JOHN WESLEY DOBBS AVE NE,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.371510000000001,33.759419999999999
8164793,172901638,10/17/2017,10/17/2017,13:00:00,10/17/2017,14:34:00,414,,,3670 CAMP CREEK PKWY SW,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Princeton Lakes,P,-84.50806,33.654420000000002
8164794,172901661,10/17/2017,10/17/2017,08:00:00,10/17/2017,14:45:00,602,,,240 N HIGHLAND AVE NE @PARISH FOODS,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Inman Park,N,-84.360389999999995,33.76191
8164795,172901752,10/17/2017,10/17/2017,14:30:00,10/17/2017,15:30:00,208,,,3232 PEACHTREE RD NE,0640,2305,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.373289999999997,33.842599999999997
8164796,172901769,10/17/2017,10/17/2017,15:36:00,10/17/2017,16:00:00,111,,,207 HARWELL RD NW,0511,2202,,1,Eve,Tue,20,BURGLARY-RESIDENCE,Adamsville,H,-84.495710000000003,33.758020000000002
8164797,172901789,10/17/2017,10/14/2017,14:05:00,10/14/2017,14:40:00,208,,,3500 PEACHTREE RD NE @PHIPPS PLAZA,0610,2301,,1,Day,Sat,,LARCENY-NON VEHICLE,North Buckhead,B,-84.360579999999999,33.85248
8164798,172901797,10/17/2017,10/17/2017,15:00:00,10/17/2017,15:48:00,409,,,3085 CAMPBELLTON RD SW,0640,2305,,1,Eve,Tue,,LARCENY-FROM VEHICLE,Southwest,R,-84.489469999999997,33.693579999999997
8164799,172901987,10/17/2017,10/17/2017,05:30:00,10/17/2017,16:44:00,403,,,1339 ELIZABETH AVE SW,0521,2204,,1,Day,Tue,20,BURGLARY-RESIDENCE,Venetian Hills,S,-84.435670000000002,33.718110000000003
8164800,172902236,10/17/2017,10/17/2017,17:20:00,10/17/2017,17:30:00,414,,,3755 CARMIA DR SW,0640,2305,,2,Eve,Tue,18,LARCENY-FROM VEHICLE,Princeton Lakes,P,-84.510040000000004,33.6569
8164801,172902244,10/17/2017,10/17/2017,17:35:00,10/17/2017,20:00:00,609,,,1275 CAROLINE ST NE,0630,2303,10,1,Eve,Tue,12,LARCENY-NON VEHICLE,Edgewood,O,-84.346379999999996,33.758310000000002
8164802,172902297,10/17/2017,10/13/2017,22:00:00,10/15/2017,10:00:00,505,,918,710 PEACHTREE ST NE,0660,2317,,1,Unk,Unk,26,LARCENY-NON VEHICLE,Midtown,E,-84.384839999999997,33.77411
8164803,172902307,10/17/2017,10/17/2017,18:48:00,10/17/2017,18:48:00,602,,,1001 PONCE DE LEON AVE NE,0630,2303,10,1,Eve,Tue,12,LARCENY-NON VEHICLE,Poncey-Highland,N,-84.354690000000005,33.77373
8164804,172902350,10/17/2017,10/17/2017,19:02:00,10/17/2017,19:02:00,203,,,2001 JAMES JACKSON PKWY NW,0630,2303,,1,Eve,Tue,24,LARCENY-NON VEHICLE,Riverside,D,-84.476240000000004,33.81026
8164805,172902395,10/17/2017,10/17/2017,14:00:00,10/17/2017,14:30:00,604,,,14 HOWELL ST NE,0660,2317,,1,Day,Tue,,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.369860000000003,33.754719999999999
8164806,172902410,10/17/2017,10/17/2017,19:00:00,10/17/2017,19:33:00,504,,1306,400 W PEACHTREE ST NW,0710,2404,,1,Eve,Tue,18,AUTO THEFT,Downtown,M,-84.387600000000006,33.76614
8164807,172902462,10/17/2017,10/17/2017,13:00:00,10/17/2017,19:53:00,411,,L-12,3200 STONE RD SW,0511,2202,,1,Eve,Tue,26,BURGLARY-RESIDENCE,Greenbriar,R,-84.494029999999995,33.669699999999999
8164808,172902474,10/17/2017,10/15/2017,17:00:00,10/17/2017,19:59:00,103,,3,588 OLIVER ST NW,0710,2404,,1,Unk,Unk,26,AUTO THEFT,English Avenue,L,-84.415570000000002,33.77093
8164809,172902549,10/17/2017,10/17/2017,20:33:00,10/17/2017,20:33:00,413,,,3550 CAMPBELLTON RD SW,0710,2404,,1,Eve,Tue,23,AUTO THEFT,,P,-84.50488,33.690040000000003
8164810,172902578,10/17/2017,10/17/2017,20:15:00,10/17/2017,20:45:00,204,,,1801 HOWELL MILL RD NW,0640,2305,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,Berkeley Park,D,-84.413480000000007,33.804479999999998
8164811,172902646,10/17/2017,10/17/2017,18:30:00,10/17/2017,21:20:00,602,,,758 LAKE AVE NE,0640,2305,,1,Eve,Tue,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.362539999999996,33.75808
8164812,172902665,10/17/2017,10/17/2017,20:45:00,10/17/2017,21:35:00,213,,,1811 PIEDMONT AVE NE,0640,2305,,3,Eve,Tue,18,LARCENY-FROM VEHICLE,Morningside/Lenox Park,F,-84.367360000000005,33.804810000000003
8164813,172902677,10/17/2017,10/17/2017,21:36:00,10/17/2017,21:37:00,210,,,3535 PEACHTREE RD NE @PUBLIX - PEACHTREE,0620,2302,,1,Eve,Tue,12,LARCENY-NON VEHICLE,Lenox,B,-84.359719999999996,33.851080000000003
8164814,172902697,10/17/2017,10/17/2017,21:00:00,10/17/2017,21:59:00,501,,,690 11TH ST NW,0640,2305,,3,Eve,Tue,18,LARCENY-FROM VEHICLE,Home Park,E,-84.409679999999994,33.782910000000001
8164815,172902724,10/17/2017,10/17/2017,21:00:00,10/17/2017,22:23:00,206,,,3179 PEACHTREE RD NE @MOONDOGS,0640,2305,,2,Eve,Tue,21,LARCENY-FROM VEHICLE,Buckhead Village,B,-84.375439999999998,33.841030000000003
8164816,172902726,10/17/2017,10/17/2017,22:30:00,10/17/2017,22:35:00,309,,,757 CLEVELAND AVE SW,0710,2404,,1,Eve,Tue,23,AUTO THEFT,Perkerson,X,-84.413629999999998,33.681330000000003
8164817,172902736,10/17/2017,10/17/2017,16:50:00,10/17/2017,22:30:00,503,,,1075 PEACHTREE ST NE,0650,2304,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,Midtown,E,-84.383290000000002,33.783790000000003
8164818,172902747,10/17/2017,10/17/2017,22:00:00,10/17/2017,22:52:00,402,,,1176 RALPH D ABERNATHY BLVD SW,0640,2305,,1,Eve,Tue,21,LARCENY-FROM VEHICLE,West End,T,-84.425929999999994,33.738410000000002
8164819,172902775,10/17/2017,10/17/2017,23:00:00,10/17/2017,23:13:00,103,,3,670 CAMERON M ALEXANDER BLVD NW,0311,1204,,1,Morn,Tue,26,ROBBERY-PEDESTRIAN,English Avenue,L,-84.409300000000002,33.768120000000003
8164820,172902778,10/17/2017,10/17/2017,21:30:00,10/17/2017,23:00:00,509,,,82 JOHN PORTMAN BLVD NE,0640,2305,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,Downtown,M,-84.384829999999994,33.761029999999998
8164183,172821271,10/17/2017,10/08/2017,21:30:00,10/09/2017,08:30:00,303,,12304,585 MCDANIEL ST SW,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Mechanicsville,V,-84.402060000000006,33.738959999999999
8164771,172900086,10/17/2017,10/16/2017,00:20:00,10/17/2017,00:35:00,312,,808,2774 VINEYARDS DR SE,0410,1314,,1,Unk,Mon,26,AGG ASSAULT,Rosedale Heights,Z,-84.370649999999998,33.679229999999997
8164772,172900338,10/17/2017,10/17/2017,02:51:00,10/17/2017,02:51:00,111,,,3221 MARTIN L KING JR DR NW,0430,1315,,1,Morn,Tue,18,AGG ASSAULT,,I,-84.49248,33.752409999999998
8164773,172900354,10/17/2017,10/17/2017,03:00:00,10/17/2017,03:05:00,308,,,1169 REDFORD DR SE,0430,1315,,1,Morn,Tue,20,AGG ASSAULT,Rebel Valley Forest,Z,-84.354240000000004,33.68515
8164774,172900418,10/17/2017,10/17/2017,00:23:00,10/17/2017,02:30:00,106,,,1155 JOSEPH E. BOONE BLVD NW,0521,2204,,1,Morn,Tue,20,BURGLARY-RESIDENCE,Bankhead,K,-84.425700000000006,33.763599999999997
8164775,172900440,10/17/2017,10/17/2017,04:09:00,10/17/2017,04:09:00,605,,,PARK AVE SE / BERNE ST SE,0640,2305,,8,Morn,Tue,13,LARCENY-FROM VEHICLE,Grant Park,W,-84.36985,33.737160000000003
8164776,172900484,10/17/2017,10/17/2017,04:40:00,10/17/2017,04:40:00,602,,,1121 ALTA AVE NE,0640,2305,,3,Morn,Tue,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.350920000000002,33.760719999999999
8164777,172900508,10/17/2017,10/16/2017,23:30:00,10/17/2017,05:08:00,602,,,20 DELTA PL NE,0640,2305,,2,Morn,Tue,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.359250000000003,33.754750000000001
8164778,172900532,10/17/2017,10/16/2017,18:30:00,10/17/2017,05:31:00,604,,,49 BOULEVARD SE,0640,2305,,1,Morn,Tue,13,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.371859999999998,33.752749999999999
8164779,172900622,10/17/2017,10/17/2017,06:38:00,10/17/2017,06:40:00,406,,,3136 MARTIN L KING JR DR SW,0710,2404,,1,Morn,Tue,18,AUTO THEFT,,I,-84.48903,33.751069999999999
8164780,172900638,10/17/2017,10/16/2017,19:45:00,10/17/2017,07:33:00,414,,,3287 SAVILLE ST SW,0640,2305,,2,Morn,Tue,20,LARCENY-FROM VEHICLE,Princeton Lakes,P,-84.516900000000007,33.662320000000001
8164781,172900702,10/17/2017,10/17/2017,07:53:00,10/17/2017,08:20:00,313,,,3885 JONESBORO RD SE @HOME DEPOT,0630,2303,,1,Day,Tue,24,LARCENY-NON VEHICLE,South River Gardens,Z,-84.365799999999993,33.648569999999999
8164782,172901079,10/17/2017,10/09/2017,08:00:00,10/09/2017,16:00:00,504,,202,515 CENTENNIAL OLYMPIC P DR NW,0690,2399,,1,Day,Mon,26,LARCENY-NON VEHICLE,Downtown,M,-84.391779999999997,33.768210000000003
8164783,172901231,10/17/2017,10/15/2017,12:00:00,10/15/2017,17:00:00,512,,,267 GARNETT ST SW,0650,2304,,1,Day,Sun,18,LARCENY-FROM VEHICLE,Downtown,M,-84.39667,33.749890000000001
8164784,172901245,10/17/2017,10/17/2017,04:00:00,10/17/2017,05:00:00,305,,,157 MOURY AVE SE,0690,2399,,1,Morn,Tue,26,LARCENY-NON VEHICLE,South Atlanta,Y,-84.388019999999997,33.71264
8164785,172901307,10/17/2017,10/16/2017,15:00:00,10/17/2017,12:00:00,406,,,2007 HIGHVIEW RD SW,0511,2202,,1,Unk,Tue,20,BURGLARY-RESIDENCE,Beecher Hills,I,-84.45823,33.73142
8164786,172901315,10/17/2017,10/17/2017,00:01:00,10/17/2017,12:13:00,603,,,1205 RENAISSANCE WAY NE,0640,2305,,1,Morn,Tue,26,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.378510000000006,33.766559999999998
8164787,172901336,10/17/2017,05/25/2017,00:00:00,10/17/2017,23:00:00,414,K,7,3540 N CAMP CREEK PKWY SW,0521,2204,,1,Unk,Unk,20,BURGLARY-RESIDENCE,,P,-84.502989999999997,33.67051
8164788,172901364,10/17/2017,08/14/2017,12:00:00,10/17/2017,12:30:00,308,,,2444 FORREST PARK RD SE,0690,2399,,1,Unk,Unk,99,LARCENY-NON VEHICLE,Rebel Valley Forest,Z,-84.360119999999995,33.686520000000002
8164789,172901425,10/17/2017,10/16/2017,21:50:00,10/17/2017,12:52:00,302,,,1166 GARIBALDI ST SW,0511,2202,,1,Morn,Tue,20,BURGLARY-RESIDENCE,Pittsburgh,V,-84.399150000000006,33.722880000000004
8163634,172750749,10/17/2017,10/02/2017,04:30:00,10/02/2017,07:30:00,411,,810,3248 VERDANT DR SW,0710,2404,,1,Morn,Mon,26,AUTO THEFT,Greenbriar,R,-84.495660000000001,33.682560000000002
8164697,172882217,10/16/2017,10/15/2017,14:00:00,10/16/2017,14:30:00,604,APT,5210,180 JACKSON ST NE,0660,2317,,1,Unk,Mon,,LARCENY-NON VEHICLE,Sweet Auburn,M,-84.374420000000001,33.759320000000002
8164701,172890080,10/16/2017,10/16/2017,00:36:00,10/16/2017,00:36:00,409,,,2180 STAR MIST DR SW,0410,1314,10,1,Morn,Mon,20,AGG ASSAULT,Southwest,R,-84.490769999999998,33.696739999999998
8164702,172890108,10/16/2017,10/16/2017,00:30:00,10/16/2017,00:45:00,107,,,1425 JOSEPH E BOONE BLVD NW,0410,1314,,1,Morn,Mon,,AGG ASSAULT,Grove Park,J,-84.434610000000006,33.763640000000002
8164703,172890123,10/16/2017,10/15/2017,18:45:00,10/16/2017,00:55:00,301,,,1309 HARTFORD AVE SW,0710,2404,,1,Eve,Sun,20,AUTO THEFT,Capitol View,X,-84.416989999999998,33.719059999999999
8164704,172890218,10/16/2017,10/15/2017,17:30:00,10/16/2017,01:40:00,606,,,727 WYLIE ST SE,0640,2305,,1,Eve,Sun,3,LARCENY-FROM VEHICLE,Cabbagetown,N,-84.363550000000004,33.752040000000001
8164705,172890235,10/16/2017,10/16/2017,01:40:00,10/16/2017,01:52:00,102,,,315 MAPLE ST NW,0690,2399,10,1,Morn,Mon,29,LARCENY-NON VEHICLE,Vine City,L,-84.405100000000004,33.763300000000001
8164706,172890238,10/16/2017,10/16/2017,01:57:00,10/16/2017,03:00:00,103,,7,630 CAMERON M ALEXANDER BLVD NW,0345,1209,,1,Morn,Mon,20,ROBBERY-RESIDENCE,English Avenue,L,-84.407979999999995,33.768120000000003
8164707,172890295,10/16/2017,10/16/2017,02:00:00,10/16/2017,02:36:00,510,,,94 PEACHTREE CENTER AVE NE,0420,1315K,10,1,Morn,Mon,18,AGG ASSAULT,Downtown,M,-84.386210000000005,33.756999999999998
8164708,172890451,10/16/2017,10/16/2017,04:30:00,10/16/2017,04:53:00,607,,A,943 CONFEDERATE CT SE,0710,2404,,1,Morn,Mon,,AUTO THEFT,Ormewood Park,W,-84.361599999999996,33.729529999999997
8164709,172890501,10/16/2017,10/16/2017,06:12:00,10/16/2017,06:12:00,605,,,614 DELMAR AVE SE,0640,2305,,2,Morn,Mon,13,LARCENY-FROM VEHICLE,Grant Park,W,-84.367419999999996,33.732230000000001
8164710,172890519,10/16/2017,10/16/2017,06:20:00,10/16/2017,06:30:00,509,,,610 SPRING ST NW,0630,2303,10,1,Morn,Mon,23,LARCENY-NON VEHICLE,English Avenue,L,-84.407349999999994,33.769950000000001
8164711,172890540,10/16/2017,10/15/2017,22:00:00,10/16/2017,06:30:00,608,,204,1634 PONCE DE LEON AVE NE @DORCHESTER APTS,0710,2404,,1,Morn,Mon,18,AUTO THEFT,Druid Hills,N,-84.332999999999998,33.774169999999998
8164712,172890709,10/16/2017,10/16/2017,05:20:00,10/16/2017,05:30:00,505,,415,905 JUNIPER ST NE,0640,2305,,2,Morn,Mon,18,LARCENY-FROM VEHICLE,Midtown,E,-84.382549999999995,33.779170000000001
8164713,172890759,10/16/2017,10/12/2017,12:00:00,10/12/2017,12:00:00,509,,,265 PEACHTREE CENTER AVE NE @MARIOTT MARQUIS,0670,2308,,1,Day,Thu,14,LARCENY-NON VEHICLE,Downtown,M,-84.385919999999999,33.761609999999997
8164714,172890761,10/16/2017,10/15/2017,23:00:00,10/16/2017,07:00:00,612,,,1718 CLIFTON WAY SE,0640,2305,,1,Morn,Mon,20,LARCENY-FROM VEHICLE,East Atlanta,W,-84.331590000000006,33.737409999999997
